City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,12.06,58,75,3.6,CL,1680479400
1,rikitea,-23.1203,-134.9692,26.68,82,51,6.74,PF,1680479474
2,bluff,-46.6,168.3333,14.89,61,75,3.94,NZ,1680479474
3,lata,40.1629,-8.3327,10.51,75,99,1.23,PT,1680479474
4,hobart,-42.8794,147.3294,16.7,65,20,4.63,AU,1680479226
5,leningradskiy,69.3833,178.4167,-20.86,86,100,5.33,RU,1680479474
6,atuona,-9.8,-139.0333,27.29,76,38,6.5,PF,1680479474
7,avarua,-21.2078,-159.775,28.03,69,75,3.09,CK,1680479474
8,bredasdorp,-34.5322,20.0403,18.01,91,12,2.98,ZA,1680479474
9,ribeira grande,38.5167,-28.7,13.76,67,75,2.68,PT,1680479474
10,nhulunbuy,-12.2333,136.7667,31.34,66,20,5.66,AU,1680479475
11,hermanus,-34.4187,19.2345,18.78,92,52,2.72,ZA,1680479475
12,port moresby,-9.4431,147.1797,26.26,82,99,1.41,PG,1680479475
13,cherskiy,68.75,161.3,-26.07,90,57,2.29,RU,1680479475
14,buraydah,26.326,43.975,15.25,22,0,3.3,SA,1680479475
15,ilulissat,69.2167,-51.1,-15.99,85,20,1.54,GL,1680479476
16,zhigansk,66.7697,123.3711,-7.06,94,100,10.18,RU,1680479476
17,chokurdakh,70.6333,147.9167,-19.87,89,67,5.85,RU,1680479476
18,kandrian,-6.2167,149.55,29.28,69,94,0.93,PG,1680479476
19,hithadhoo,-0.6,73.0833,27.92,69,10,3.04,MV,1680479476
20,ushuaia,-54.8,-68.3,11.81,50,40,4.63,AR,1680479476
21,hilo,19.7297,-155.09,23.85,90,75,5.14,US,1680479476
22,pangody,65.85,74.4859,-10.0,91,67,4.66,RU,1680479476
23,mataura,-46.1927,168.8643,14.71,49,55,1.29,NZ,1680479477
24,provideniya,64.3833,-173.3,-10.91,57,40,1.0,RU,1680479477
25,touros,-5.1989,-35.4608,25.69,81,95,2.35,BR,1680479477
26,busselton,-33.65,115.3333,16.92,81,1,4.66,AU,1680479477
27,barrow,71.2906,-156.7887,-13.99,78,100,4.63,US,1680479477
28,burlatskoye,45.0564,43.635,7.07,70,47,1.23,RU,1680479477
29,saskylakh,71.9167,114.0833,-8.41,96,100,0.88,RU,1680479478
30,tarko-sale,64.9225,77.785,-6.04,90,100,5.21,RU,1680479478
31,pemangkat,1.1667,108.9667,25.42,83,95,2.11,ID,1680479478
32,albany,42.6001,-73.9662,3.36,27,16,2.24,US,1680479362
33,kapaa,22.0752,-159.319,27.33,80,20,4.12,US,1680479478
34,inhambane,-23.865,35.3833,22.93,71,35,2.12,MZ,1680479478
35,puerto escondido,15.85,-97.0667,28.79,68,20,3.03,MX,1680479478
36,butaritari,3.0707,172.7902,27.64,78,52,5.55,KI,1680479479
37,bethel,41.3712,-73.414,7.64,32,0,4.63,US,1680479401
38,vaini,-21.2,-175.2,28.09,69,40,5.14,TO,1680479479
39,narsaq,60.9167,-46.05,5.12,76,100,4.02,GL,1680479479
